X,Y,Depression_prevelence,PopulationDensity,PopulationFemale,Population65,NoHealthInsurance,Neighbor_Disadvantage,Beer,MentalHealthPati,Generalhosptials,NatureParks,Casinos,DrinkingPlaces,X.HouseRent
-81.425989,33.651016,21.39999962,45.04152,46.09,17.77,14,0.777254995,1.467114,0.377047,16.036014,12.891512,0.144845,1.472754,29.98
-81.330733,33.59043,21.20000076,29.0574,51.53,19.69,12.08,0.321170095,1.528383,0.489023,11.018906,12.9354,0.239382,2.473662,13.58
-81.518179,33.483526,23.39999962,48.26874,54.86,16.81,12.79,0.253729436,1.873241,0.369632,19.789072,11.89444,0.272865,2.181204,13.15
-81.64237,33.450866,19.10000038,139.828,52,34.45,8.78,-0.190267912,1.535245,0.171078,20.205173,10.898951,0.070443,3.256432,17.17
-81.750688,33.421224,19.89999962,140.6335,49.43,19.91,4.88,-0.523982682,2.04354,0.373059,37.548997,18.355405,0.111636,3.747213,23.15
-81.819686,33.322704,21.39999962,77.91066,53.2,15.24,8,-0.065939484,1.265841,0.240139,49.236359,11.160072,0.090779,2.594437,14.63
-81.432828,33.028886,19.20000076,20.88843,53.53,24.29,9.55,1.512227805,0.382607,0.057183,15.440603,8.996979,0,2.602517,32.52
-82.645046,34.521076,24.39999962,2258.621,56.22,14.42,7.86,-0.254979566,1.790678,2.210789,20.647052,21.308952,0.284618,10.840869,34.73
-82.627961,34.528905,21.70000076,2070.291,59.87,23.68,6.69,-0.555547702,1.527446,2.08866,21.488248,40.340335,0.266386,8.703219,47.15
-82.604201,34.489356,22,985.2267,49.27,20.04,6.53,1.491238688,0.803237,1.199284,11.389371,15.84807,0.027809,2.287981,36.89
-82.634438,34.490844,21.20000076,1386.705,54.67,22.84,21.83,0.664238541,0.762537,0.833403,9.966829,15.431326,0.028293,1.589346,60.42
-82.661933,34.493966,24.29999924,1501.558,52.61,21.51,13.56,1.372543601,2.021619,0.803981,9.715654,11.882697,0.032061,3.194392,64.23
-82.68163,34.51581,27.29999924,1755.451,55.16,16.11,30.5,0.959420754,1.558918,0.730381,7.416293,13.001426,0.241947,4.503016,59.82
-82.666148,34.520126,24.79999924,2346.248,50.31,14.66,23.2,0.49695286,1.967597,0.973577,10.108414,11.98998,0,5.0059,61.33
-82.67978,34.540467,21.70000076,1117.339,50.8,14.33,8.93,-0.526174451,1.915075,1.698273,12.300765,14.765001,0.510823,6.657333,69.86
-82.657079,34.548551,22,1371.859,52.73,22.81,4.67,-0.474216369,2.776744,1.506478,16.530991,16.275705,0.160343,9.678788,25.62
-82.512163,34.73277,23.70000076,443.9191,48.26,15.27,4.61,-0.549651447,1.948078,1.749266,22.219239,12.094665,0.432366,6.510087,24.19
-82.507963,34.783532,23,784.1509,50.99,12.25,8.6,-0.495091488,1.673639,1.181286,19.08819,11.966696,0.270648,5.710964,8.24
-82.581173,34.727853,23.5,320.3992,50.72,14.59,8.46,-0.549957693,1.984508,2.236728,21.564664,14.634987,0.228667,5.957623,10.4
-82.476146,34.716951,24,441.2902,50.1,17.57,7.12,-0.131089398,1.499613,2.316204,31.387459,27.821323,0.289248,6.944002,20.85
-82.491599,34.657358,25.89999962,444.0228,49.87,17.41,10.5,-0.091371577,1.509056,1.786785,22.721146,15.42794,0.20188,5.782381,34.26
-82.483276,34.622198,24.5,704.4344,50.69,17.85,9.83,-0.170840497,1.643791,2.574857,22.06317,18.664513,0.253074,4.82029,31.44
-82.501539,34.577666,26.79999924,218.9482,52.39,16.55,12.78,0.347852446,1.403557,1.02082,16.361697,13.225652,0.228091,3.515176,29.77
-82.575717,34.641178,24.10000038,197.87,50.17,16.2,10.93,-0.18775583,5.26081,1.841412,20.711837,16.246364,0.221621,8.700986,21.46
-82.686761,34.652742,23.10000038,119.294,47.19,17.31,8.1,-0.285620314,3.588881,1.621736,13.725458,15.176445,0.258425,7.412743,10.71
-82.778387,34.640914,23.79999924,298.7738,52.79,17.12,11.94,-0.061157111,2.155385,1.582295,9.464176,13.874804,0.247968,4.632397,42.09
-82.799414,34.56959,23.29999924,201.6011,46.98,21.38,5.58,-0.296879494,3.377066,1.833879,13.288473,16.685011,0.189392,8.811787,15.71
-82.880795,34.51918,23.79999924,114.0566,51.66,24.14,10.97,-0.27624133,3.279721,1.502339,12.642494,12.144801,0.223873,6.316027,14.55
-82.800906,34.482688,23.29999924,445.4777,52.24,21.78,7.49,-0.719574551,4.086942,1.389441,16.346796,14.260076,0.321871,6.894236,5.62
-82.731618,34.539778,24.10000038,750.6609,54.31,18.74,8.24,-0.447384996,2.20686,2.325513,16.838412,14.371698,0.175076,6.665407,16.77
-82.700857,34.555165,22.29999924,723.0842,55.75,23.7,6.62,-0.385295949,3.098922,1.796601,12.03258,14.160214,0.146823,6.895479,28.69
-82.643291,34.583703,20.89999962,517.4454,51.91,20.15,5.12,-0.891326036,5.221587,3.335324,21.925684,16.891779,0.362967,12.473912,8.22
-82.600214,34.55845,22.10000038,699.5321,52.44,17.78,4.89,-0.660568399,3.162855,2.425227,19.08381,15.584977,0.344296,13.122854,15.99
-82.544831,34.470126,23.60000038,145.0526,47.49,20.2,4.94,-0.303661099,1.463517,2.102949,17.956641,16.021401,0.236728,6.13111,14.46
-82.503388,34.514255,24.10000038,602.9133,52.81,18.44,9.07,-0.139925376,1.303299,2.706697,15.216575,17.542334,0.061216,3.120876,32.04
-82.439311,34.524971,26.60000038,187.5362,51.52,17.29,12.01,0.762322316,0.65305,1.717505,11.771259,14.292462,0.248041,2.711531,33.09
-82.409235,34.465532,24.20000076,136.9849,53.17,19.8,8.36,0.086886293,1.126611,1.426253,18.78341,21.064267,0.099909,3.746458,25.5
-82.512867,34.390551,25.20000076,66.78024,49.73,21.76,7.88,-0.042218719,1.86604,1.371691,21.529697,13.255505,0.123837,5.617492,9.41
-82.674495,34.312675,24.89999962,71.86788,50.63,19.4,11.23,0.100402258,1.560951,1.263319,12.248188,11.528583,0.148399,4.225668,14.83
-82.62884,34.415246,25.79999924,190.6039,48.65,18.7,13.57,0.17583974,2.501769,1.801603,16.469129,10.751112,0.156918,3.425898,24.51
-82.662814,34.457058,26.60000038,844.082,54.09,12.09,20.88,1.193078463,1.631499,1.279066,14.241767,9.540044,0.141595,2.441573,45.66
-82.615919,34.463245,23.10000038,526.5288,58.16,17.31,14.38,0.96673103,1.068398,1.368801,12.142485,10.347876,0.027561,3.080079,45.05
-82.712934,34.514522,23.5,1179.791,53.71,17.88,4.01,-0.419796324,2.117618,1.26903,21.187135,18.601504,0.207728,6.460254,26.5
-82.725551,34.482551,22.89999962,273.6445,52.83,19.46,7.02,-0.100632373,3.164958,1.336156,16.19074,12.766472,0.196315,5.740407,14.25
-82.751267,34.39807,26,87.82245,52.33,13.3,14.32,0.613155274,2.000335,1.012367,14.743772,13.132879,0.089102,5.206655,23.8
-82.617211,34.508367,24.70000076,978.9993,54.37,10.07,11.58,1.056102205,2.459747,2.076319,19.186839,13.740616,0.058744,6.17802,64.85
-81.149888,33.328141,19,64.98754,51.41,18.92,18.8,0.361955263,1.689322,0.240021,6.753345,6.082001,0.196361,1.423201,44.46
-80.97495,33.237563,20,47.91623,52.05,22.38,11.13,0.148974459,0.671338,0.39034,10.157276,5.91656,0.124607,1.375057,25.97
-81.153361,33.172225,20.89999962,14.32692,47.04,18.75,11.78,0.470470029,0.766567,0.106454,5.701179,6.950197,0.085656,1.247383,20.83
-81.002082,33.113036,20.20000076,13.42315,55.45,24.75,6.04,0.047656741,1.16412,0.07164,17.434292,9.541074,0.101973,3.047389,18.41
-81.396382,33.393707,22.39999962,55.46013,51.4,16.54,14.33,0.917064929,1.048489,0.185343,18.976221,10.323062,0.237645,2.119417,38.87
-81.275965,33.368961,21,47.53242,55.94,18.79,10.9,0.860188325,0.828533,0.141416,9.427543,7.025506,0.223796,1.268526,27.51
-81.375426,33.272657,21.5,149.2939,55.64,17.76,7.09,1.246250938,1.387008,0.09323,13.575786,12.03348,0.172585,2.267392,53.48
-81.279415,33.235984,21.89999962,83.38834,47.03,18.84,12.33,-0.515998055,1.05493,0.297946,18.803386,24.683526,0.073222,5.26013,9.61
-81.387081,33.179036,21.5,33.52826,49.64,17.11,12.68,0.654812424,0.901899,0.108431,13.525301,12.187631,0.156017,2.735867,21.03
-80.720646,32.586034,17.5,29.16699,53,26.6,6.23,-0.17708789,0.92179,0.287061,9.270981,7.684873,0.125604,1.470392,10.91
-80.746719,32.501255,20.20000076,328.8023,55.61,14.66,14.48,0.492395104,0.693382,0.078115,11.202935,10.626801,0.159989,1.304492,28.25
-80.788687,32.466317,23.39999962,1228.476,49.47,2.99,7.48,-0.524570497,0.510007,0.476735,16.495813,11.151428,0.160173,2.970561,81.64
-80.770434,32.430867,20,731.2527,46.38,11.07,11.67,0.266730368,0.82305,0.097144,10.764648,12.833521,0.160761,1.674157,46.39
-80.734376,32.41788,20.89999962,1216.573,53.59,9.23,12.94,0.47359256,0.882141,0.228302,12.515602,11.564302,0.075322,2.380983,60.88
-80.735477,32.381041,19.60000038,621.4951,46.8,15.68,12.05,-0.349971717,1.327249,0.345117,14.089249,26.669392,0.126774,3.808279,33.33
-80.688707,32.445464,19.79999924,899.2637,57.69,27.43,13.59,-0.262708222,1.070049,0.437454,10.96701,34.57823,0.244787,3.73454,39.43
-80.689315,32.418034,19.10000038,1698.497,49.08,21.09,8,-0.492496164,1.863352,0.980664,19.588233,21.33318,0.192151,3.588898,32.26
-80.694763,32.384511,20.89999962,2453.776,53.15,13.89,12.24,-0.041351502,1.621618,0.15206,11.794411,17.957472,0.20428,2.321056,64.91
-80.582714,32.479362,19,134.4235,47.91,22.63,12.67,-0.864944035,4.700046,0.507508,17.471934,25.834608,0.135473,5.750661,12.12
-80.634791,32.445428,20.10000038,769.6566,47.25,15.75,5.12,-0.10972684,2.726874,0.586108,12.696197,19.149045,0.234131,4.0061,27.04
-80.655612,32.387057,18.39999962,317.4853,47.62,22.92,13.65,-0.246102645,4.073651,0.772962,15.168576,26.823143,0.255283,6.700432,20.37
-80.545624,32.427743,17.5,185.3175,52.8,40.32,8.92,-0.380398025,2.517415,0.154236,8.155483,8.555784,0,1.582583,22.16
-80.576138,32.359744,18.29999924,154.3904,54.68,19.88,18.52,0.084606092,1.878189,0.260086,7.88808,9.103522,0.145667,1.68264,16.33
-80.523647,32.329462,16.70000076,33.05894,51.21,60.66,1.73,-0.973274117,2.612413,0.359605,4.473551,16.712657,0.510572,8.488511,11.01
-80.868989,32.114641,18.60000038,41.22545,47.07,54.96,2.93,-1.26133737,0.833965,0.683413,9.904849,24.520394,0,4.710297,8.11
-80.905725,32.184664,19.29999924,61.78982,49.89,28.26,9.92,-0.827373144,7.27619,1.370927,13.595,23.307015,0.704736,9.76648,12.56
-80.963176,32.252652,19.79999924,815.3158,52.62,13.26,9.89,-0.94263453,7.729172,1.364596,12.383045,22.557477,0.484834,8.693184,16.42
-80.970915,32.287056,16.70000076,1483.718,55.78,78.88,3.59,-0.758069714,1.870977,0.399511,6.074924,6.452995,0.148084,2.284801,4.55
-80.921545,32.278717,20.10000038,906.985,49.38,16.56,8.81,-0.508054132,8.953523,1.242386,14.305855,30.976057,0.386765,11.934741,21.65
-80.90302,32.254105,19,1258.789,52.67,16.99,9.22,-0.722004264,5.696422,1.552772,10.141691,22.818006,0.38259,6.890507,27.55
-80.878129,32.243438,20.39999962,1518.652,52.38,6.36,21.58,-0.233050267,3.155371,0.992136,6.988878,30.775639,0.157384,5.803256,42.15
-80.825899,32.221142,20.39999962,505.1716,54.79,13.1,21.47,-0.790007981,4.503414,1.041326,9.374414,24.752926,0.214247,9.547154,31.67
-80.823196,32.280242,17.29999924,229.894,51.29,46.11,4.43,-0.884080211,3.45395,0.71623,6.899535,16.542312,0.157034,8.256246,12.83
-80.824823,32.356218,17.39999962,90.86427,54.98,43.14,4.12,-0.945365258,2.496206,1.375692,11.311008,31.462371,0.527145,5.850842,22.32
-80.813059,32.12711,16.79999924,624.947,53.72,57.66,2.07,-0.887467681,2.493332,0.756301,10.606894,21.477444,0.5818,7.514748,9.91
-80.79083,32.151462,16.39999962,836.5591,50.1,45.31,6.91,-0.586752244,0.995095,0.42071,4.793613,16.197356,0.296098,6.797878,28.44
-80.762397,32.167812,17.10000038,840.3433,53.72,40.43,10.46,-0.999051637,2.410633,1.644827,7.282116,32.580867,0.51928,12.820523,23.46
-80.754895,32.198632,18.60000038,847.9792,50.36,27.58,8.1,-0.585949728,1.726946,0.829036,8.241917,33.151139,0.339838,8.454243,22.29
-80.758015,32.221907,19.39999962,1361.838,50.05,19.98,18.88,-0.349884659,1.90386,0.718847,6.738114,25.595644,0.17058,7.466915,27.59
-80.73517,32.244672,15.39999962,1261.515,52.04,57.16,1.26,-1.059180148,1.149739,0.520778,4.34538,15.284834,0.111454,5.993185,3.33
-80.713013,32.241567,16.10000038,1195.98,50.72,48.5,2.21,-0.980899448,1.469869,1.195187,8.924682,19.648535,0.623992,7.701764,8.07
-80.698323,32.224801,20.10000038,1418.808,44.18,8.71,40.3,0.718299028,0.632635,0.291267,4.162108,19.728758,0.212894,5.071404,65.09
-80.682837,32.219958,17.10000038,978.9965,53.31,44.23,11.59,-0.587580646,1.409182,0.112632,5.703005,12.086727,0.238152,5.549869,24.55
-80.713917,32.195939,17.79999924,774.3167,54.07,16.73,19.5,-0.672044711,1.333566,1.478059,6.001094,33.27338,0.753772,11.896963,28.83
-80.722773,32.175679,16.70000076,628.4607,56.26,48.22,2.46,-0.662301865,2.950289,1.223125,11.072057,31.814704,0.707731,10.858581,11.05
-80.743266,32.149359,17.89999962,946.822,59.06,43.56,5.64,-0.78690806,2.294901,0.669695,9.818854,30.277693,1.360903,21.228525,12.34
-80.76091,32.139785,17.89999962,1765.162,50.8,31.01,16.98,-0.776181855,2.181286,2.010309,13.679595,43.888191,1.024147,22.607582,35.24
-80.167378,33.337885,19.89999962,61.58736,52.37,24.17,7.62,0.22889246,1.046576,0.248555,12.400092,6.982176,0.307365,1.889586,17.11
-80.252015,33.201109,21.70000076,33.99918,46.09,16.36,12.61,0.222209682,1.599113,0.215642,8.523124,8.981732,0.11412,3.529358,30.64
-79.88116,33.374699,22.29999924,85.44652,55.01,16.16,14.23,0.595313278,2.73734,0.415249,10.06361,6.04212,0.102788,1.348491,30.84
-80.046301,33.427896,17.89999962,37.65262,53.15,22.21,13.19,0.653090137,1.369462,0.189455,7.402919,3.678159,0.072623,1.031922,29.14
-79.82831,33.287318,23.5,54.73648,52.27,10.63,11.23,-0.018586285,1.089692,0.708321,13.274703,8.195382,0.187654,2.362905,22.3
-79.967534,33.301228,21.20000076,148.9561,45.96,22.26,7.51,-0.303869838,1.29948,0.36177,13.903253,8.715258,0.071818,3.517989,18.22
-79.736183,33.179307,22.79999924,12.95177,49.84,17.84,12.94,0.140581966,1.543528,0.874872,11.859225,8.336068,0.125006,3.38762,10.89
-79.917239,32.863602,19.70000076,700.9134,51.07,14.98,4.42,-0.778430422,5.888526,5.875711,22.670679,104.786598,0.58454,40.699059,26.65
-79.889076,32.92125,21.5,192.4165,54.95,10.58,4.32,-0.643129433,3.227755,1.450646,22.840462,33.743553,0.218272,15.442744,24.42
-79.830026,33.01508,19.70000076,41.28363,55.57,16.59,21.92,0.160798878,1.520179,0.805578,19.216266,26.848433,0.343314,7.034623,12.66
-80.095,33.22351,20.89999962,90.90975,48.65,21.21,8.17,-0.186779672,1.581587,0.825526,12.742066,8.852949,0.146316,4.496742,14.51
-80.01012,33.207592,20.20000076,568.6679,50.34,15.41,11.77,-0.025244326,1.727677,0.560227,12.969072,22.781696,0.096512,3.390414,27.53
-80.035383,33.159424,21.89999962,1304.765,52.27,8.05,13.8,-0.128796562,2.624851,1.344474,18.835855,15.354432,0.364101,6.389018,13.78
-79.997272,33.183295,21.89999962,765.7378,53.37,14.31,3.79,0.064000753,1.764343,0.919546,16.423671,10.196995,0.207749,3.631541,36.95
-79.984317,33.086096,21.60000038,232.0176,48.6,11.04,5.74,-0.564931655,2.064989,1.093834,18.218818,17.372402,0.39185,9.570196,17.24
-80.044551,33.061545,21.89999962,322.158,52.46,14.23,6.5,-0.167649416,2.351245,1.152584,17.789604,43.103685,0.216359,6.984464,26.5
-80.184771,33.09253,22.5,279.2308,53.08,7.84,4.66,-0.353328802,1.340281,0.854342,15.516217,34.043112,0.188663,6.857498,35.58
-80.105858,33.1352,21.10000038,552.2427,51.38,21.39,2.8,-0.727688142,1.8259,1.291603,20.670308,18.510657,0.405456,8.415713,2.37
-80.096548,33.091219,24.70000076,720.256,44.44,19.35,19.86,0.008263072,1.745235,1.472847,15.784319,12.900707,0.156676,5.653597,26.94
-80.130567,33.071444,21.39999962,332.1714,48.25,14.38,12.37,-0.040310791,1.871234,2.291916,22.548004,29.306347,0.203674,11.53461,20.97
-80.138224,33.027309,22.29999924,1732.039,53.28,15.39,8.21,-0.284818239,1.746055,1.179419,17.898601,19.491078,0.33773,7.331423,27.65
-80.12205,33.037496,24,4361.338,52.82,12.19,16.78,0.30892451,0.775237,1.052427,9.496021,14.616123,0.087673,4.82039,34.41
-80.108767,33.013227,21.60000038,2371.775,52.66,11.86,14.38,-0.19663894,1.402234,0.692765,15.060968,15.202958,0.252458,5.896696,26.51
-80.098141,33.029202,23.79999924,3311.334,53.96,7.26,17.24,0.237871086,0.982735,0.856458,12.861543,12.256284,0.210259,4.061878,36.59
-80.090333,33.043985,23.79999924,2789.204,53.1,8.83,15.9,0.080694222,1.979239,0.960394,13.128446,13.792913,0.145654,5.885252,42.33
-80.07282,33.028976,22.39999962,4101.168,51.34,10.17,9.97,-0.078937665,1.974072,1.048739,15.619741,18.092839,0.281667,5.205036,32.16
-80.059212,33.016798,21.10000038,3171.032,49.37,13.65,4.6,-0.731814626,1.662441,0.474693,16.54656,15.246021,0.410203,6.69925,0.71
-80.081108,33.004096,21,1471.71,55.71,16.94,4.97,-0.158595743,1.617419,1.940637,15.461079,20.798632,0.423823,9.521753,11
-80.062046,33.005669,21,3239.479,49.4,15.31,4.13,-0.947257034,1.423425,2.322448,16.969036,15.129007,0.131592,6.25342,4.02
-80.046401,32.997316,22.5,3163.271,54.56,15.7,16.79,0.233283233,1.57711,0.488508,8.789723,11.523005,0,2.609986,30.57
-79.966991,32.999458,21.39999962,195.7029,23.34,0.72,5.87,-0.617517596,1.118884,0.126425,4.412718,12.167431,0.242023,8.304908,100
-79.985368,32.96895,25.20000076,2117.504,42.87,0.34,1.56,-0.972727064,0.80243,0.394198,9.93781,13.544585,0.109029,5.267589,97.37
-80.01334,32.975741,21,2802.685,47.44,15.42,19.26,-0.358351023,2.45359,0.663533,14.439428,14.293504,0.054305,5.752859,28.28
-80.031843,33.018184,23.29999924,3861.71,56.05,12.88,16.25,0.419893741,1.764418,1.249636,20.950716,10.744923,0.080865,3.148894,39.21
-80.013317,33.0196,20.79999924,1616.389,49,8.38,13.5,-0.5053803,2.031434,1.192621,16.997855,13.912691,0.294271,5.255021,11.81
-80.018711,32.994901,22.20000076,3396.387,47.75,8.92,14.16,0.132095416,2.100412,1.151384,12.045199,15.403355,0.225216,3.5234,36.46
-80.024274,32.985808,20.89999962,2107.606,48.2,15.55,15.57,-0.065277331,3.307173,1.036095,12.920072,11.297222,0,3.416845,18.44
-80.025863,32.968716,21.70000076,3971.235,46.42,8.68,17.65,-0.202383869,3.081954,0.702431,10.1242,13.857751,0.206936,3.869025,34.03
-80.011337,32.960675,21.60000038,6676.618,45.42,11.68,22.96,0.171159413,2.654135,0.624932,10.380371,11.060656,0.06586,3.318376,60.39
-80.009262,32.941757,21.39999962,2333.173,50.8,6.88,2.91,-0.637549677,1.19125,1.614537,17.073584,26.141605,0.45383,7.920681,18.91
-80.007869,32.907669,22.70000076,5356.253,59.79,13.21,8.99,0.383166375,0.50109,0.259192,8.733644,11.468569,0.159086,2.788798,46.13
-80.008951,32.918935,20.79999924,2677.135,48.13,21.79,8.53,-0.474848997,1.539924,0.819011,16.514007,20.481678,0.125245,5.397538,27.11
-80.031,32.9484,20.79999924,2980.507,48.7,14.43,9.42,-0.585474835,3.068731,0.72508,17.488988,22.574424,0.580849,6.587971,38.19
-79.979738,32.918078,22.89999962,1302.199,43.81,12.75,26.95,0.104686783,0.98181,0.752753,13.470776,16.919473,0.114687,3.788771,53.99
-80.955097,33.743563,20.60000038,44.36736,49.73,22.23,11.7,0.122247822,1.691293,0.670924,12.954486,8.045527,0.118202,2.056582,15.62
-80.80244,33.686319,18.29999924,56.32253,55.71,21.69,9.94,0.499982861,1.862117,0.756079,10.469633,7.323116,0.229398,2.016887,22.88
-80.645553,33.620174,18.89999962,22.1804,49.92,22.32,4.73,-0.11133104,1.576842,0.931763,10.293611,7.334638,0.210448,2.930439,22.67
-79.940208,32.771913,18.70000076,7132.026,54.7,14.84,1.14,-0.267011537,1.995949,1.031578,32.223148,43.566915,0.184921,14.311318,32.35
-79.930768,32.771365,16.60000038,4456.041,57.78,42.06,1.08,-1.057232533,3.314748,1.277876,21.236852,48.660145,0.205541,15.140596,18.75
-79.935333,32.782495,25.70000076,12827.48,58.07,14.48,4.9,0.223499033,2.635733,0.629309,17.815557,126.645312,0.362889,23.9012,79.32
-79.947212,32.779359,21.5,6928.198,51.37,16.16,1.74,-0.656198688,3.195781,1.856046,36.170279,54.687578,0.064231,17.510283,56.93
-79.950886,32.784712,21.70000076,3612.858,46.02,9.31,1.99,-0.406798333,3.736501,1.988705,230.346726,60.796728,0.467438,25.997331,72.28
-79.938559,32.789484,27,9176.671,68.61,6.11,3.03,-0.054789029,5.285464,1.660826,27.692356,168.251346,0.709389,41.087294,87.36
-79.927617,32.798401,17.20000076,2768.986,51.92,6.69,13.03,0.777656165,2.852887,0.638175,26.953473,44.762736,0.78047,19.331097,72.32
-79.944365,32.791883,21.60000038,14757.57,47.95,5.78,4.42,-0.168888379,2.400333,0.282374,23.329223,38.15633,0.07128,17.985452,76.68
-79.956395,32.790083,19,6395.189,49.71,10.45,7.98,1.049754622,2.345095,0.949068,46.365165,21.887885,0.549948,16.228681,69.04
-79.952261,32.807004,15.69999981,8228.191,52.02,11.91,5.17,-0.039164921,1.586206,0.528073,15.4681,11.601733,0.539223,8.384131,40.12
-79.961791,32.808171,16,5742.507,53.38,13,5.34,-0.656979913,2.142631,1.028303,16.463435,14.792654,0.046269,11.911664,22.23
-79.995343,32.746623,19.20000076,1137.498,49.16,18.24,9.9,-0.407509815,1.186543,0.397645,18.495214,27.649732,0.10214,10.008881,26.35
-79.962765,32.757158,19.39999962,1588.888,56.61,10.91,9.87,-0.640919263,1.391308,1.373895,24.359501,20.856144,0.111858,10.59008,59.01
-79.96188,32.733682,20.39999962,3192.457,44.77,13.51,14.95,-0.658568562,1.313459,0.436318,23.485659,24.971622,0.35119,10.816295,37.73
-79.951347,32.687747,17.79999924,458.019,48.29,18.58,6.93,-0.518038096,1.913777,0.751945,20.796064,23.773975,0.051606,8.902824,45.04
